unit,knot_0,knot_1,knot_2,knot_3,knot_4,knot_5,knot_6,knot_7,knot_8,knot_9,knot_10,knot_11,knot_12,knot_13,knot_14,knot_15,knot_16,knot_17,knot_18,knot_19,knot_20
0,-3.000000,-2.700000,-2.400000,-2.247800,-1.870029,-1.509018,-1.134264,-0.792541,-0.494214,-0.232735,0.020986,0.288378,0.568639,0.818349,1.097551,1.393215,1.755629,2.063861,2.490429,2.833834,3.000000
1,-3.000000,-2.641388,-2.353266,-2.099646,-1.855166,-1.577650,-1.280093,-0.963332,-0.652117,-0.314112,0.043120,0.366154,0.680455,0.983033,1.268589,1.548940,1.775838,2.036423,2.342681,2.700000,3.000000
2,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.600000,-0.300000,-0.086277,0.302302,0.683139,0.838128,1.117222,1.555331,1.919565,2.100000,2.400000,2.700000,3.000000
3,-2.913319,-2.723456,-2.493329,-2.191772,-1.903011,-1.580057,-1.276610,-0.911445,-0.606499,-0.242934,0.075808,0.393481,0.714699,1.007091,1.210566,1.561589,1.721218,1.999484,2.253802,2.700000,3.000000
4,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.429227,-1.155438,-0.981434,-0.619794,-0.232239,-0.025257,0.244802,0.600000,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
5,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.368561,-1.125866,-1.008966,-0.584970,-0.184650,-0.086908,0.213147,0.600000,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
6,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.669062,-0.307592,0.089600,0.346390,0.565012,0.889389,1.222484,1.486540,1.717214,2.100552,2.441978,2.700000,3.000000
7,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.642004,-1.277776,-0.828302,-0.484412,-0.239145,0.014779,0.297657,0.590704,0.834723,1.084747,1.439080,1.827729,2.236092,2.400000,2.700000,3.000000
8,-3.000000,-2.700000,-2.400000,-2.100000,-1.851819,-1.560221,-1.220385,-0.874005,-0.563637,-0.235110,0.062592,0.352605,0.606304,0.921839,1.163666,1.450796,1.734550,2.027640,2.356612,2.685425,3.030863
9,-2.935025,-2.656501,-2.421140,-2.165255,-1.891273,-1.585367,-1.256697,-0.928395,-0.574039,-0.229647,0.082098,0.381077,0.654844,0.882012,1.143027,1.441831,1.800000,2.100000,2.400000,2.700000,3.000000
10,-3.031700,-2.668287,-2.356462,-2.105122,-1.845322,-1.542525,-1.161187,-0.899763,-0.596956,-0.234719,0.038361,0.343618,0.607603,0.884886,1.171683,1.414921,1.736562,2.100000,2.400000,2.700000,3.000000
11,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.425683,-1.222411,-0.987373,-0.501353,-0.349174,-0.073114,0.300000,0.600000,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
12,-2.915995,-2.634951,-2.374302,-2.177882,-1.879575,-1.590912,-1.277601,-0.908128,-0.576506,-0.238711,0.094545,0.396411,0.686259,0.982394,1.125935,1.413147,1.792940,2.100000,2.400000,2.700000,3.000000
13,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.600000,-0.315363,0.006422,0.254180,0.643076,0.827666,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
14,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.355143,-0.984716,-0.517391,-0.192696,0.031619,0.278737,0.590549,0.802667,1.122540,1.480854,1.942680,2.197322,2.400000,2.700000,3.000000
15,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.600000,-0.300000,-0.000000,0.203005,0.695839,0.806330,1.199517,1.638268,1.800000,2.100000,2.400000,2.700000,3.000000
16,-3.146971,-2.789290,-2.434653,-2.004970,-1.692995,-1.394177,-1.123710,-0.854961,-0.593773,-0.336753,-0.066335,0.197629,0.472547,0.842630,1.110169,1.578716,1.921913,2.100000,2.400000,2.700000,3.000000
17,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.135912,-0.981570,-0.490003,-0.324234,-0.075468,0.300000,0.600000,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
18,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-1.026451,-0.623975,-0.211693,0.106088,0.343476,0.584553,0.834723,1.091759,1.431690,1.880699,2.266306,2.400000,2.700000,3.000000
19,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.075264,-1.013194,-0.693667,-0.210443,0.131043,0.179856,0.487302,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
20,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.810189,-0.534242,-0.385020,-0.103232,0.227310,0.573291,0.970398,1.297190,1.592581,1.740016,2.009286,2.400000,2.700000,3.000000
21,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.894368,-0.584168,-0.341435,0.008896,0.283781,0.600000,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
22,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.810452,-0.514477,-0.360929,-0.109582,0.219794,0.607281,0.983376,1.298062,1.504860,1.723465,2.100000,2.400000,2.700000,3.000000
23,-2.929276,-2.629567,-2.368396,-2.155203,-1.886560,-1.582747,-1.267416,-0.911713,-0.559450,-0.228747,0.092679,0.381926,0.639270,0.857325,1.126388,1.493701,1.800000,2.100000,2.400000,2.700000,3.000000
24,-3.160920,-2.813081,-2.390914,-2.019441,-1.684815,-1.372166,-1.093393,-0.852243,-0.580359,-0.289348,-0.081213,0.197401,0.478792,0.781789,1.107420,1.578106,1.922970,2.259778,2.400000,2.700000,3.000000
25,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.132143,-0.846406,-0.660023,-0.388881,-0.067784,0.276730,0.665626,0.982368,1.262929,1.450768,1.733629,2.100000,2.400000,2.700000,3.000000
26,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.846779,-0.557939,-0.345878,-0.055758,0.347930,0.651498,0.878884,1.157573,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
27,-3.000000,-2.700000,-2.400000,-2.004832,-1.712892,-1.590207,-1.286225,-0.995914,-0.657110,-0.305036,0.014664,0.378770,0.718895,1.001453,1.146345,1.404957,1.788967,2.100000,2.400000,2.700000,3.000000
28,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.600000,-0.300000,-0.000000,0.316973,0.537742,0.898487,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
29,-3.000000,-2.700000,-2.341854,-2.017194,-1.738335,-1.456188,-1.234387,-0.950245,-0.684962,-0.375792,-0.066315,0.264942,0.601175,0.892525,1.249522,1.551945,1.874665,2.159244,2.414328,2.692515,2.949178
30,-2.913010,-2.803808,-2.537624,-2.230289,-1.911169,-1.589619,-1.232567,-0.917042,-0.577841,-0.256042,0.109605,0.423911,0.762589,0.989041,1.320160,1.494740,1.713137,1.933164,2.400000,2.700000,3.000000
31,-2.936471,-2.652579,-2.432857,-2.158429,-1.881789,-1.581327,-1.268549,-0.951257,-0.630304,-0.275364,0.063224,0.370248,0.672423,0.967356,1.250560,1.473572,1.749898,2.043598,2.400000,2.700000,3.000000